SEKTOR,SUBSEKTOR,MSIC_5D
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32120
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32200
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32300
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32400
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32500
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32901
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",32909
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33110
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33120
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33131
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33132
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33133
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33140
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33150
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33190
PEMBUATAN,"PERALATAN PENGANGKUTAN, PEMBUATAN LAIN DAN PEMBAIKAN",33200
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26101
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26102
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26103
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26104
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26105
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26109
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26201
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26202
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26300
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26400
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26511
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26512
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26520
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26600
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26701
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26702
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",26800
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",27101
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",27102
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",27200
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",27310
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",27320
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",27330
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",27400
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",27500
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",27900
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28110
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28120
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28130
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28140
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28150
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28160
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28170
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28180
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28191
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28192
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28199
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28210
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28220
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28230
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28240
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28250
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28260
PEMBUATAN,"PRODUK ELEKTRIK, ELEKTRONIK DAN OPTIKAL",28290
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",16100
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",16211
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",16212
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",16221
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",16222
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",16230
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",16291
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",16292
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",17010
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",17020
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",17091
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",17092
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",17093
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",17094
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",17099
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",18110
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",18120
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",18200
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",31001
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",31002
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",31003
PEMBUATAN,"PRODUK KAYU, PERABOT, KELUARAN KERTAS DAN PERCETAKAN",31009
PEMBUATAN,PRODUK MAKANAN,10101
PEMBUATAN,PRODUK MAKANAN,10102
PEMBUATAN,PRODUK MAKANAN,10103
PEMBUATAN,PRODUK MAKANAN,10104
PEMBUATAN,PRODUK MAKANAN,10109
PEMBUATAN,PRODUK MAKANAN,10201
PEMBUATAN,PRODUK MAKANAN,10202
PEMBUATAN,PRODUK MAKANAN,10203
PEMBUATAN,PRODUK MAKANAN,10204
PEMBUATAN,PRODUK MAKANAN,10205
PEMBUATAN,PRODUK MAKANAN,10301
PEMBUATAN,PRODUK MAKANAN,10302
PEMBUATAN,PRODUK MAKANAN,10303
PEMBUATAN,PRODUK MAKANAN,10304
PEMBUATAN,PRODUK MAKANAN,10305
PEMBUATAN,PRODUK MAKANAN,10306
PEMBUATAN,PRODUK MAKANAN,10401
PEMBUATAN,PRODUK MAKANAN,10402
PEMBUATAN,PRODUK MAKANAN,10403
PEMBUATAN,PRODUK MAKANAN,10404
PEMBUATAN,PRODUK MAKANAN,10405
PEMBUATAN,PRODUK MAKANAN,10406
PEMBUATAN,PRODUK MAKANAN,10407
PEMBUATAN,PRODUK MAKANAN,10501
PEMBUATAN,PRODUK MAKANAN,10502
PEMBUATAN,PRODUK MAKANAN,10509
PEMBUATAN,PRODUK MAKANAN,10611
PEMBUATAN,PRODUK MAKANAN,10613
PEMBUATAN,PRODUK MAKANAN,10619
PEMBUATAN,PRODUK MAKANAN,10621
PEMBUATAN,PRODUK MAKANAN,10622
PEMBUATAN,PRODUK MAKANAN,10623
PEMBUATAN,PRODUK MAKANAN,10711
PEMBUATAN,PRODUK MAKANAN,10712
PEMBUATAN,PRODUK MAKANAN,10713
PEMBUATAN,PRODUK MAKANAN,10714
PEMBUATAN,PRODUK MAKANAN,10721
PEMBUATAN,PRODUK MAKANAN,10722
PEMBUATAN,PRODUK MAKANAN,10731
PEMBUATAN,PRODUK MAKANAN,10732
PEMBUATAN,PRODUK MAKANAN,10733
PEMBUATAN,PRODUK MAKANAN,10741
PEMBUATAN,PRODUK MAKANAN,10742
PEMBUATAN,PRODUK MAKANAN,10750
PEMBUATAN,PRODUK MAKANAN,10791
PEMBUATAN,PRODUK MAKANAN,10792
PEMBUATAN,PRODUK MAKANAN,10793
PEMBUATAN,PRODUK MAKANAN,10794
PEMBUATAN,PRODUK MAKANAN,10795
PEMBUATAN,PRODUK MAKANAN,10799
PEMBUATAN,PRODUK MAKANAN,10800
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23101
